identity,sensitive,exposure,activity,volume,concentration
0.20569900762377977,0.021192374525582484,0.13910288987507943,0.604240110063564,0.5207826465609061,0.529018817234011
0.13369464805254017,0.16973774047121315,0.12091134645032348,0.7318528343002413,0.5026775826913615,0.7230650857580534
0.2750637207755392,0.04444617165944288,0.7026465385419288,0.3503989058466667,0.501109277098819,0.2275692226536502
0.08987752647159841,0.11259744773690539,0.38758928383819446,0.49743270420836505,0.48547385716061675,0.8049809198421728
0.29165813702839766,0.19027991447563067,0.24596276210335205,0.5278367911743859,0.7325262658685193,0.658355061697998
0.059149511287811755,0.08336427362896293,0.25159863996381504,0.7775880556221002,0.9470883701833198,0.4619784917045889
0.32705962648278514,0.2000293460572599,0.22171161703811085,0.5411664963618473,0.6460024179034826,0.5512739949469397
0.09554430491433971,0.10466943730056542,0.41714187782166007,0.46222913057700804,0.6594233186402049,0.37585060613307214
0.10265227728548591,0.07562100621934675,0.2103401957218073,0.4908896462848294,0.7642361746605794,0.5667812619267126
0.19666784373902343,0.05461893555173364,0.2594685967636496,0.5157603457191847,0.7701274484648162,0.2788182412361024
0.31880892477386386,0.052927792499393826,0.397844846341237,0.6951582326304676,0.6410304113475527,0.473592487307877
0.04392139735387337,0.17059654273061858,0.23330566995711996,0.445032034351745,0.6100122974802344,0.4772788376027023
0.2160350149224153,0.1383534842733903,0.09339305295938642,0.614968794810843,0.677447090087623,0.6249466121445592
0.14800171832552705,0.09715883282416737,0.5365961120763956,0.8005886639106244,0.5582377149896557,0.3785933621623269
0.07872371730847685,0.02215403825105061,0.31567438264294245,0.6064083858709671,0.6104358695077262,0.26081123420085534
0.1993614050953347,0.054250244242601796,0.3887847892673235,0.5067049646558884,0.6472862596693207,0.6921770579162356
0.0741426443807845,0.039657762670870074,0.3853468068201947,0.4068678438241061,0.8531408627965169,0.5177104357017718
0.20828496378500636,0.0050019180370905175,0.4241529278516705,0.682012009156113,0.7205027055454846,0.41378775488562863
0.08398610634478464,0.0324086303364058,0.14782232603727602,0.6234325661564278,0.5380191201142436,0.4551189948515841
0.109704996728581,0.023324251818880617,0.11243118153436335,0.3184802521412355,0.9129127006616423,0.6500723099354335
0.16885243388472798,0.09182544583650527,0.5399833298561798,0.224258891544223,0.7848791880949364,0.40124105902966745
0.21839638271050452,0.17244171709339357,0.32779503626639955,0.6343614575611806,0.5754236614189124,0.42284126626039775
0.09526603465487178,0.07136423064159252,0.018058712557805258,0.5546048372080616,0.8163807197474477,0.44823422321194833
0.16890158419077503,0.08069233833367111,0.33222954438179003,0.7043453840456337,0.6293277436045582,0.47954409549300014
0.11448288602356779,0.12034053440265995,0.12682421229647373,0.3454335287635186,0.9214292330762596,0.48491753616661604
0.09158739283060349,0.09804171767070398,0.1934028420125355,0.8529155498411367,0.5946352156395528,0.7245820444249151
0.227010347852195,0.1247203072628283,0.29175849247739577,0.5480343965649631,0.5437027566467062,0.5811371623225176
0.12131882112586806,0.21701625460485005,0.20799304686356235,0.6066489789425267,0.8364836816293406,0.35556897003989535
0.09529984296509152,0.09061620326922441,0.5353633950189102,0.7257610265058446,0.60626663609343,0.2917545925209382
0.16525442503125504,0.24047841455050797,0.10424875194028144,0.7416300655205017,0.8624429502799313,0.315522408728342
0.04815750267858831,0.10412918600172974,0.3755903182097915,0.4982516898282097,0.7400103628184909,0.5746855414264137
0.11787744569336835,0.08726883798655478,0.28118961375204,0.6728046745324258,0.8200303969076014,0.4419278973319881
0.17643747119237457,0.4580278383967498,0.13292492996118324,0.5146386406777831,0.6380706191749473,0.37779665931332723
0.0218506438161928,0.13237252705986985,0.4409005883193242,0.3853305458813745,0.770032768631415,0.6175466846821572
0.08206508280788398,0.0077771621673972,0.32127363890883637,0.670289853381029,0.4303948850465265,0.6408860708958479
0.11855969884492087,0.1560427352447338,0.09987353729017144,0.4961691606937513,0.6443869579183527,0.14741867988562252
0.22886280008039156,0.031930828259671466,0.3780110408301248,0.45096132685915824,0.756925743273103,0.2688876596248509
0.4153335481274578,0.09052303738387363,0.20698884020598476,0.44494421106845095,0.8155017277383162,0.5123784746252993
0.07899286371161865,0.0241425604220349,0.5234368412661176,0.6338967544739184,0.3757267593664703,0.3725042050664169
0.03508708351599696,0.12479295038447275,0.40673701149531927,0.5309310901719159,0.7110963897598906,0.38903118667639486
0.04599763649509173,0.19241870752382598,0.31319330186530203,0.5452853530171822,0.7721596986515359,0.3888209374455971
0.08864720464170629,0.12291659858186553,0.2791842655052219,0.45708681219981995,0.4844999699482214,0.5835694532025266
0.3183611278919382,0.08639746356698101,0.5282194321811458,0.35922946788205984,0.7825231047362948,0.6172824056322496
0.03151250901284961,0.05845039470982141,0.23937359114726073,0.6938306015305673,0.7361390640660842,0.41374029238117643
0.14130466605053568,0.28565061772003625,0.05472789785069691,0.5637759248484691,0.6986734081714849,0.5173538328869478
0.18654577297666436,0.11152254982882942,0.30894204156790067,0.6489544329137242,0.5285346532076436,0.40686544243126405
0.08234716544935984,0.21026555569812055,0.3615129432742542,0.6404854035228921,0.8560406442038975,0.3135985494814253
0.21416678216105745,0.18590234588571897,0.19436528816760068,0.8152128860532688,0.8386031701587252,0.4987151855771065
0.3258839742107845,0.06750165413093709,0.22257661516311888,0.5320463780209199,0.6325368023700417,0.2814439444073004
0.05362641863135901,0.07345436452819121,0.28346644496415446,0.392180394564469,0.23210312098181546,0.524577436895575
0.22769775317133692,0.22864597008920684,0.061248920933992,0.5696367538934511,0.4949467363392667,0.6237879528367286
0.1542773752913482,0.08794311071507202,0.4733799859883421,0.24442263501378303,0.6802229425726446,0.3098029068809553
0.12719952006464416,0.05984052630806631,0.28351035783310424,0.5911255191257139,0.7947909660135885,0.4592208699212808
0.10135369565993471,0.05147686179792732,0.5970977589524782,0.6751137527932818,0.5151633611461289,0.5640480237745935
0.26514263351950024,0.18918110556017062,0.46155991070762825,0.4062898968333992,0.6549673241882592,0.6086245644844551
0.05314435138536841,0.06219362260432482,0.26638922372215673,0.7636689733872695,0.7017002386554545,0.580168249134243
0.10363922045778524,0.07097658866616281,0.16155369465388264,0.30825793883879776,0.8150524957812799,0.6687009393825782
0.19964783003571637,0.15768636020938173,0.35071675249709244,0.6086193684345439,0.5830681610729728,0.3983086069424076
0.12278196139099928,0.016759281899741692,0.45202342967396236,0.5472175319425133,0.7778918908491156,0.4491590269844885
0.2375125817950809,0.11434854509498758,0.12984105468105303,0.8476213197518503,0.7249521966808972,0.22710294438369477
0.07017329748267356,0.2024952329241723,0.1264742789929917,0.5187067357677013,0.6540185515744398,0.36765135508623786
0.21066263494187146,0.10916766728921984,0.48665637564004466,0.35443423363911286,0.882371532022827,0.582804586334672
0.20763553106960292,0.09112661502603413,0.3546064403734768,0.7449855165773916,0.7079418684702189,0.35232675973396904
0.1759313489507975,0.13468122740808908,0.314697402102663,0.6543565727562364,0.47648172243341286,0.6538185772758277
0.08161857369688438,0.15393267860382648,0.247726948418135,0.7345685203360253,0.8051590596951647,0.5637107492449871
0.21420129997758558,0.10188921413100557,0.45644358341750874,0.6501265701232479,0.687273070336503,0.8510783435295626
0.0871913326041843,0.01237632340462013,0.18167534409538058,0.48051855697400103,0.6696807336781513,0.38055126757301994
0.5788072899832215,0.14373123590087009,0.18067655343369154,0.373371378004759,0.41611327718638097,0.59014811771741
0.07734772158034975,0.02983469305171809,0.15070026616732973,0.5320241566039023,0.741700260104404,0.5576041891273255
0.0703447127815036,0.17142967664136505,0.16855878313232012,0.3704604374272898,0.8810666738853578,0.4168529044293405
0.18160557062720153,0.011990450773595101,0.24296413868277156,0.7263927644381255,0.6799118168963673,0.3446046925858525
0.017339811184018207,0.03083468406375458,0.7618863921379455,0.8487875272307974,0.5713542762433657,0.4485254410585403
0.08259787800775696,0.09742108649126915,0.32404149294777473,0.7205246845908767,0.7078094955450054,0.2746019483681925
0.16023799913054917,0.07676735920677094,0.37223315951079866,0.6137747699824204,0.9558572617592184,0.5059955878417073
0.1264759203743696,0.06905670915696231,0.1600828348024206,0.6172471589889778,0.7854745891041895,0.4859884027091306
0.03838128081294547,0.3479147963526918,0.36579287582934183,0.5982733146133814,0.6881848447160872,0.5069862544850249
